cart_snapshot_id,user_id,product_id
C1,U21,P015
C1,U8,P016
C1,U2,P006
C1,U1,P008
C1,U6,P020
C2,U41,P019
C2,U41,P018
C3,U21,P008
C3,U4,P004
C3,U29,P002
C4,U6,P018
C4,U36,P002
C4,U6,P010
C4,U1,P013
C4,U15,P003
C5,U18,P003
C5,U35,P019
C5,U3,P001
C5,U42,P010
C6,U16,P013
C6,U34,P001
C6,U16,P003
C6,U7,P010
C6,U29,P004
C7,U47,P009
C7,U17,P007
C7,U40,P019
C7,U16,P002
C7,U50,P010
C8,U10,P020
C8,U9,P010
C9,U23,P008
C9,U37,P016
C9,U47,P017
C9,U11,P018
C10,U11,P017
C10,U36,P020
C10,U18,P019
C11,U44,P013
C11,U21,P017
C11,U18,P008
C11,U26,P002
C12,U30,P010
C12,U28,P017
C12,U9,P016
C12,U41,P001
C13,U2,P011
C13,U12,P020
C13,U39,P009
C13,U33,P016
C13,U23,P015
C14,U16,P008
C14,U20,P012
C14,U17,P009
C15,U18,P004
C15,U18,P013
C16,U29,P006
C16,U19,P016
C16,U47,P001
C16,U47,P003
C16,U6,P011
C17,U11,P004
C17,U1,P018
C17,U13,P002
C17,U40,P013
C17,U21,P008
C18,U16,P012
C18,U21,P014
C18,U30,P018
C18,U14,P017
C18,U17,P011
C19,U13,P003
C19,U14,P002
C19,U42,P006
C19,U48,P009
C20,U1,P008
C20,U37,P002
C20,U30,P007
C20,U9,P016
C20,U15,P001
C21,U21,P002
C21,U23,P020
C22,U1,P016
C22,U48,P001
C22,U41,P011
C22,U40,P014
C23,U33,P018
C23,U7,P019
C23,U33,P020
C23,U8,P002
C23,U19,P005
C24,U43,P018
C24,U31,P011
C24,U46,P015
C25,U4,P015
C25,U30,P013
C25,U12,P005
C25,U8,P016
C26,U49,P003
C26,U14,P017
C26,U13,P016
C27,U18,P013
C27,U43,P020
C27,U43,P008
C27,U1,P011
C27,U41,P017
C28,U33,P010
C28,U15,P018
C28,U49,P009
C29,U31,P010
C29,U33,P006
C30,U10,P002
C30,U37,P017
C30,U9,P020
C30,U5,P016
C30,U7,P007
C31,U37,P008
C31,U35,P011
C31,U50,P010
C31,U19,P009
C31,U33,P019
C32,U17,P014
C32,U23,P009
C32,U34,P020
C32,U26,P007
C33,U30,P002
C33,U23,P013
C34,U50,P020
C34,U31,P015
C34,U25,P003
C35,U39,P013
C35,U26,P019
C36,U9,P015
C36,U25,P004
C36,U40,P017
C36,U17,P008
C36,U23,P011
C37,U40,P005
C37,U48,P001
C37,U30,P015
C37,U23,P020
C38,U40,P014
C38,U21,P006
C38,U15,P013
C39,U35,P001
C39,U14,P003
C39,U39,P005
C39,U45,P004
C40,U50,P015
C40,U37,P005
C40,U23,P009
C41,U24,P014
C41,U33,P019
C41,U36,P003
C41,U29,P005
C42,U28,P001
C42,U31,P017
C43,U50,P006
C43,U45,P005
C43,U11,P007
C44,U49,P020
C44,U13,P013
C45,U6,P013
C45,U40,P001
C45,U9,P007
C46,U7,P002
C46,U39,P013
C46,U29,P006
C46,U4,P007
C46,U39,P017
C47,U31,P006
C47,U10,P007
C47,U38,P013
C48,U42,P019
C48,U48,P014
C48,U29,P010
C48,U11,P009
C48,U17,P015
C49,U2,P011
C49,U18,P015
C49,U47,P009
C50,U25,P020
C50,U12,P014
C51,U25,P010
C51,U26,P006
C51,U38,P002
C51,U16,P005
C52,U2,P011
C52,U17,P005
C52,U30,P001
C52,U47,P019
C53,U12,P020
C53,U48,P015
C53,U4,P017
C53,U12,P013
C53,U33,P012
C54,U26,P002
C54,U14,P007
C54,U43,P011
C54,U26,P004
C54,U17,P009
C55,U49,P011
C55,U33,P019
C55,U27,P006
C55,U4,P013
C56,U22,P003
C56,U44,P007
C57,U2,P004
C57,U14,P016
C57,U15,P006
C57,U15,P014
C57,U36,P020
C58,U16,P006
C58,U38,P020
C59,U16,P017
C59,U4,P012
C59,U5,P014
C59,U45,P016
C60,U32,P016
C60,U20,P001
C61,U37,P005
C61,U49,P017
C61,U7,P015
C61,U41,P007
C62,U8,P010
C62,U31,P009
C62,U21,P005
C62,U23,P007
C62,U18,P002
C63,U6,P005
C63,U43,P015
C63,U25,P002
C63,U42,P016
C63,U25,P011
C64,U48,P018
C64,U28,P010
C64,U16,P015
C64,U34,P017
C65,U23,P004
C65,U45,P020
C65,U24,P018
C65,U3,P006
C66,U50,P002
C66,U31,P007
C66,U5,P018
C66,U41,P005
C66,U14,P006
C67,U12,P016
C67,U40,P018
C67,U43,P003
C67,U13,P017
C68,U12,P004
C68,U14,P011
C68,U29,P005
C68,U20,P002
C69,U32,P014
C69,U22,P011
C69,U43,P018
C69,U17,P001
C69,U40,P013
C70,U42,P017
C70,U3,P002
C70,U12,P015
C70,U46,P012
C70,U23,P005
C71,U13,P020
C71,U43,P011
C71,U39,P014
C72,U18,P007
C72,U21,P012
C73,U48,P016
C73,U8,P003
C74,U9,P002
C74,U13,P006
C75,U35,P016
C75,U36,P008
C75,U35,P015
C76,U19,P017
C76,U42,P004
C76,U3,P003
C76,U39,P014
C77,U1,P012
C77,U1,P019
C77,U33,P017
C78,U25,P012
C78,U36,P007
C78,U38,P002
C78,U23,P004
C78,U11,P017
C79,U39,P018
C79,U42,P001
C79,U35,P003
C80,U13,P007
C80,U25,P013
C80,U31,P012
C81,U18,P004
C81,U15,P018
C81,U9,P007
C81,U37,P009
C81,U42,P017
C82,U43,P001
C82,U22,P016
C82,U45,P005
C82,U10,P019
C82,U23,P008
C83,U49,P003
C83,U50,P004
C83,U15,P015
C84,U2,P005
C84,U7,P009
C84,U43,P008
C84,U7,P013
C85,U10,P009
C85,U2,P012
C85,U12,P005
C85,U2,P006
C85,U4,P002
C86,U39,P016
C86,U34,P018
C87,U9,P018
C87,U7,P008
C87,U16,P017
C87,U28,P002
C87,U8,P020
C88,U17,P006
C88,U34,P014
C89,U17,P001
C89,U50,P019
C90,U30,P001
C90,U19,P002
C90,U32,P020
C90,U41,P018
C90,U36,P015
C91,U9,P006
C91,U14,P002
C91,U41,P009
C91,U9,P007
C91,U35,P012
C92,U29,P002
C92,U10,P014
C93,U3,P018
C93,U33,P016
C93,U31,P009
C93,U13,P006
C94,U17,P012
C94,U33,P009
C95,U12,P011
C95,U14,P002
C96,U39,P004
C96,U30,P006
C97,U37,P017
C97,U35,P015
C98,U22,P018
C98,U44,P010
C99,U30,P018
C99,U33,P005
C99,U4,P002
C99,U10,P010
C99,U24,P019
C100,U50,P018
C100,U16,P019
C100,U14,P011
C100,U14,P001
